Fecha, Hora, Temp. Ambiental (DHT11), Humedad (DHT11), CO2 PPM (MQ135),  Temp. Corporal (MLX90614), Pulso Card. (MAX30102), Oxigenacion (MAX30102)
04/12/2024, 00:55:51, 20.60, 59.00, 83, 20.01, 0.00, 0.00
04/12/2024, 00:55:58, 20.60, 59.00, 83, 20.09, 0.00, 0.00
04/12/2024, 00:56:04, 20.60, 59.00, 83, 20.09, 0.00, 0.00
04/12/2024, 00:56:11, 20.60, 59.00, 80, 20.05, 0.00, 0.00
04/12/2024, 00:56:17, 20.60, 59.00, 83, 20.09, 0.00, 0.00
04/12/2024, 00:56:23, 20.60, 59.00, 83, 20.09, 0.00, 0.00
04/12/2024, 00:56:30, 20.60, 59.00, 83, 19.95, 0.00, 0.00
04/12/2024, 00:56:36, 20.60, 59.00, 83, 20.05, 0.00, 0.00
04/12/2024, 00:56:42, 20.60, 59.00, 80, 20.01, 0.00, 0.00
04/12/2024, 00:56:49, 20.60, 59.00, 80, 20.05, 0.00, 0.00
04/12/2024, 00:56:55, 20.60, 59.00, 83, 20.05, 0.00, 0.00
04/12/2024, 00:57:01, 20.60, 59.00, 83, 20.05, 0.00, 0.00
04/12/2024, 00:57:08, 20.60, 59.00, 80, 20.05, 0.00, 0.00
04/12/2024, 00:57:14, 20.60, 59.00, 80, 20.05, 0.00, 0.00
04/12/2024, 00:57:20, 20.60, 59.00, 83, 20.01, 0.00, 0.00
04/12/2024, 00:57:27, 20.60, 59.00, 83, 20.01, 0.00, 0.00
04/12/2024, 00:57:33, 20.60, 59.00, 83, 20.05, 0.00, 0.00
04/12/2024, 00:57:39, 20.60, 59.00, 83, 20.05, 0.00, 0.00
04/12/2024, 00:57:46, 20.60, 59.00, 83, 20.09, 0.00, 0.00
04/12/2024, 00:57:52, 20.60, 59.00, 83, 20.01, 0.00, 0.00
04/12/2024, 00:57:58, 20.60, 59.00, 80, 20.01, 0.00, 0.00
04/12/2024, 00:58:05, 20.60, 59.00, 83, 20.09, 0.00, 0.00
04/12/2024, 00:58:11, 20.60, 59.00, 83, 20.01, 0.00, 0.00
04/12/2024, 00:58:17, 20.60, 59.00, 80, 20.05, 0.00, 0.00
04/12/2024, 00:58:24, 20.80, 59.00, 83, 20.01, 0.00, 0.00
04/12/2024, 00:58:30, 21.00, 58.00, 83, 20.05, 0.00, 0.00
04/12/2024, 00:58:36, 21.00, 58.00, 83, 20.05, 0.00, 0.00
04/12/2024, 00:58:43, 21.00, 58.00, 80, 20.09, 0.00, 0.00
